,actor,athlete,bartender,begger,chef,clerk,clown,coal mines person,commander,construction worker,cop,countryside person,delivery person,doctor,electrician,engineer,farmer,fashion model,firefighter,fisherman,fisherwoman,ghetto person,handyman,handywoman,hillibilly,hillibilly person,janitor,journalist,laborer,lawyer,mafia,mafia person,maid,mechanic,nurse,painter,pastor,physician,pilot,plumber,police officer,poor person,poverty stricken person,professor,rich person,rockstar,rural person,scientist,soldier,sports player,teacher,tennis player,thug,trash collector,umpire,urban person,waiter,waitress,wealthy person
cop,0.19750236496445123,0.7129179210363643,0.3574689325829643,9.74033369861677e-09,1.5887602755094254e-15,0.0008597584957201603,1.4886461619131868e-53,0.0006222396333517683,2.3852437005916733e-13,0.6448037272968457,,1.367571930904008e-30,0.4617020056962452,0.2694111011590873,4.427487503641758e-07,1.2056354957990743e-05,3.160716688352895e-08,8.838693230618657e-19,4.89924909925106e-06,0.0011083479181121926,7.992340732041489e-11,0.04279693159723459,7.886794324011987e-08,1.7090405693317334e-30,1.8232162442133206e-15,2.0512820706025934e-33,1.005164088088618e-07,1.6302893613354903e-11,1.739865191502849e-17,3.9914380768143503e-14,0.15399116585273462,4.105511169363651e-23,7.051650288894186e-11,2.702916418618689e-16,5.3857844725882614e-08,2.702916418618689e-16,8.838693230618657e-19,1.2056354957990743e-05,1.005164088088618e-07,2.3852437005916733e-13,1.738594261976121e-26,0.004157806320968708,0.0006222396333517683,1.734868813483936e-09,6.322136055358206e-09,4.6407806073679175e-10,0.9270120865792904,1.6302893613354903e-11,0.021067451937439172,2.0308325229430506e-12,8.838693230618657e-19,1.2305940600374513e-06,2.702916418618689e-16,1.739865191502849e-17,3.9914380768143503e-14,3.316677566472649e-66,0.0016541923966652203,4.305913895772821e-18,5.307769303640615e-42
countryside person,0.7846838567996506,0.46608047576400474,0.9274402034147975,0.41207580137298955,0.12064023837219914,0.6487916715503033,0.0003490427922120681,2.340385148768079e-19,0.5846212498469892,0.583027164031546,0.7846838567996506,,1.2647037044671944e-07,0.46608047576400474,0.7155396051582514,0.9274402034147975,0.17105734157248187,0.1011173116519005,0.8554168638352471,0.24919693241065843,0.44162580183377054,7.561984848525656e-05,0.00015518438718083183,0.009755417858425177,4.6530294327297786e-11,1.8416701160885633e-10,0.8554168638352471,0.7155396051582514,0.3622474075625638,0.7846838567996506,0.44162580183377054,0.00660640272464654,0.5846212498469892,0.3622474075625638,0.7155396051582514,0.41207580137298955,0.5236227772285318,0.31591003357227093,0.6487916715503033,0.46608047576400474,0.46608047576400474,3.752540845782821e-07,7.561984848525656e-05,0.5846212498469892,0.01763890458013596,0.8554168638352471,9.912773531303238e-06,0.8554168638352471,0.02869690643639175,0.23572110633002905,0.46608047576400474,0.14497298961554225,0.5236227772285318,0.41207580137298955,1.0,1.418825265465956e-39,0.09630691779336534,0.3700633193454648,1.223584841034706e-17
delivery person,0.8491542158571437,0.924193260803273,0.6342405666640365,0.924193260803273,0.7036069198540607,0.39180474705286683,0.3410291333693277,0.007467533753405912,0.7752918953307288,0.6327920839084172,0.10599506917638774,1.4465152126375212e-05,,0.6342405666640365,0.7036069198540607,0.6342405666640365,0.21618936578544434,0.39180474705286683,0.5681131972891929,0.007122521699232848,0.8942328669939081,9.33164456084082e-06,7.126034559832577e-05,0.00024353867456638237,0.0010975031816579507,7.126034559832577e-05,0.7036069198540607,0.2952922403463537,0.7036069198540607,0.2529856468533415,0.2828481600081132,0.2828481600081132,0.05621776948799956,0.15366284676566536,0.5053675982449546,0.8491542158571437,0.21618936578544434,0.924193260803273,0.5681131972891929,0.5681131972891929,0.2952922403463537,5.220799773046464e-08,0.0022559822534308125,0.924193260803273,0.5681131972891929,0.2952922403463537,2.942537956920599e-07,0.6342405666640365,0.21618936578544434,0.7036069198540607,0.5681131972891929,0.3410291333693277,0.3410291333693277,1.0,0.21618936578544434,5.651407947865597e-13,0.00024353867456638237,0.2293711158334159,5.495969513261011e-09
doctor,0.9256943917741545,1.0,0.01906578135622832,0.0064372735542522815,4.903379070765573e-10,0.0064372735542522815,6.819083277850768e-54,0.0009894521524001078,0.0014036635964621777,1.0,6.674732823399011e-27,1.0642333149697342e-27,0.9256943917741545,,2.2084470447553157e-06,7.882807830529305e-07,3.1291610978729103e-09,2.741636647055897e-07,0.2614778675149969,0.00017459053760528326,1.571549430036615e-08,0.2256983977941881,5.887409494116374e-09,2.8466644043929745e-29,1.571549430036615e-08,9.267071141605735e-27,8.214900069051806e-10,8.214900069051806e-10,3.792744449366018e-13,3.409251085195333e-12,0.35859020243385453,3.857865945839072e-11,2.741636647055897e-07,5.188737013327558e-15,1.241033989837212e-14,4.787840889667244e-19,1.1759385647403151e-20,2.741636647055897e-07,1.7347239392056806e-08,5.188737013327558e-15,0.0001595849952090245,0.30517798727416523,0.008735338620429302,1.7347239392056806e-08,1.8453699452645793e-16,1.240341210209289e-10,0.0019061677645426916,1.240341210209289e-10,0.01906578135622832,1.240341210209289e-10,2.0330073785793844e-17,3.1291610978729103e-09,2.0330073785793844e-17,2.0330073785793844e-17,2.8193517836836857e-11,8.25370947134065e-68,0.0013677230939795133,1.4270588135121613e-25,1.137012082128925e-33
electrician,6.317828525716622e-31,0.06819952083861464,1.1748427360370475e-07,2.989638912882181e-05,7.433934495246646e-23,0.8684892396415691,6.317828525716622e-31,0.015921192037934018,1.1477632546420727e-06,6.688911496761827e-08,6.317828525716622e-31,3.5971950660681937e-10,7.133460857076484e-08,6.317828525716622e-31,,0.0003318636326533472,0.004756299299994911,1.5351232419205574e-16,5.265520270959726e-22,0.8157011774520632,0.004755246037922432,0.015921192037934018,0.7274384475036298,1.898094637962614e-12,0.014298859301847633,4.640790341551696e-16,0.1585793824294968,3.299632176450232e-09,1.24899480162038e-15,1.24899480162038e-15,2.343428334806321e-10,0.00015041125946088185,9.502885085501654e-09,3.1930831735344114e-23,2.854636632427562e-12,2.6516139025617906e-22,1.814478455439345e-27,2.0647849424968017e-21,0.03786472136537042,2.3814533652726803e-20,3.780038011619889e-30,0.08137929774756093,0.00047907053213481636,0.006031741757995554,1.0,0.00047907053213481636,1.3863613525610784e-05,0.0011499606636767865,4.159980227491133e-05,7.119196066876662e-11,3.607704076676181e-21,0.0011499606636767865,1.3462971894237973e-28,1.452935262463002e-32,2.6516139025617906e-22,1.1528492299827491e-36,0.026775434053443098,2.5207364431386603e-09,2.1048398472223942e-18
engineer,5.359929142714246e-28,0.02324591987512185,0.0010223095766382518,3.554833634355997e-05,5.637247900780844e-30,0.018704505899066734,1.4625447083185803e-44,0.7381531805567627,7.948679885951147e-08,0.0007337292907132891,9.899482762759054e-33,6.133412828642637e-15,0.0003917415483357599,3.5878510145985834e-37,1.0,,0.40303535108373584,8.526086965444498e-13,1.0854310244814569e-16,0.6369963302932102,0.00034623731174707943,0.04411954008483914,0.09765641511536893,1.4571895428848116e-18,0.00013354592529307173,4.408714523144703e-22,2.280740692885664e-09,2.0665058349447436e-13,1.3083862167792244e-19,8.983850061470553e-18,3.359157894684332e-07,6.654931369649881e-07,5.047440409959567e-17,1.3083862167792244e-19,2.490315573536752e-14,1.3083862167792244e-19,1.642531082876499e-22,6.133412828642637e-15,0.0013609680191393426,1.8268626829323718e-20,5.24095849181123e-29,0.24142665815246586,0.007124038507858696,2.9251437041406172e-08,0.035675052116934954,3.1512338024880553e-06,0.011701410433029722,0.0007407292599820123,4.8684601081258216e-05,4.829925188691283e-14,2.746653627862486e-16,0.0003917415483357599,2.119941434076259e-28,6.295088892232133e-27,2.119941434076259e-28,1.743972066467354e-39,0.09765641511536893,5.61809258607101e-12,2.6891921890459303e-19
farmer,1.2876007226173148e-29,0.00024296836226310686,0.0015580845998458316,0.507612314097731,6.67092973278802e-26,0.24601554941740467,9.591233474970136e-40,0.003690943002852871,2.0404322973955207e-05,4.369297741214917e-08,1.2669881806566315e-32,1.7116098420872392e-15,8.907014223078336e-05,6.510268103493794e-36,0.8684711263085879,1.37409033510456e-05,,5.2316621613792785e-14,1.0001434235259339e-18,0.7274235155057356,0.00016373634392131397,0.1356261467191843,0.8159356051361676,7.300065617033874e-15,0.019327689215889392,1.8817772881145787e-20,8.907014223078336e-05,3.1064809660615304e-12,1.3286097764445802e-17,3.8970539222046066e-11,1.188053044548773e-09,0.0022827825773909043,1.1731742732634454e-07,1.4908918353469698e-26,2.925814001167827e-14,4.053403953218064e-19,4.053403953218064e-19,1.37409033510456e-05,0.002128868351821953,1.0620350122077726e-22,2.205019088477744e-22,0.04641053001445283,8.907014223078336e-05,4.327324699929487e-05,0.004689081310150603,0.00034549673279984905,4.141343199420563e-06,0.006226965342262537,1.1756685740187103e-06,3.59563988277924e-16,1.3286097764445802e-17,0.0011943894966446513,1.4908918353469698e-26,3.141347774362291e-30,5.2316621613792785e-14,2.5993801331124264e-37,1.0,5.761475268746661e-10,1.7116098420872392e-15
fashion model,2.1844975471912716e-26,1.0693507304258606e-12,4.0345739061795685e-07,0.4540748834577799,1.9331892254904588e-15,0.0033988395498246136,4.175571430213453e-23,1.4998684803644252e-06,0.27929536150198875,2.6054526488531393e-09,3.2174626567794055e-33,0.05511926286490119,1.6492794290217977e-13,2.281323551558423e-19,9.091040434545766e-15,4.0986987658234845e-14,4.031664053785233e-12,,7.774026050465371e-17,9.425945402008192e-06,0.0009566499589330018,1.6310090639106648e-14,0.060448919088486465,5.7495419850346544e-08,0.7254252246072783,3.8496897594602516e-14,0.024202754891821384,0.0004355789089186251,4.952517419401521e-19,0.0008114458742771016,1.9231549091635846e-17,0.19683763620217454,1.0,1.3895231585951738e-23,4.0345739061795685e-07,9.843498422719392e-31,8.189321956261016e-34,1.9331892254904588e-15,5.720635965578238e-05,5.805013960167014e-27,4.9706504187227456e-21,1.7398821191797221e-09,1.7398821191797221e-09,0.21175966995406686,0.00011566216146640721,0.36008148041945903,4.117261147165574e-17,0.012166023488533208,1.4665377509612508e-11,0.01931584263982202,9.92249397677514e-23,0.012166023488533208,4.952517419401521e-19,9.92249397677514e-23,6.233044608242124e-07,1.4578613931337528e-18,0.0001456480909769885,0.0001456480909769885,5.579281398566326e-06
firefighter,0.2079531621412516,0.65314929952235,0.8572601685250213,0.0038358666712311213,1.5486178280610718e-34,0.01928501159447812,5.685985842128156e-56,0.024023522320378313,2.1966308230699523e-08,0.856726939843401,2.0559235824093767e-10,3.393478726107714e-25,0.058255353910479986,1.5486178280610718e-34,0.0004272218046161406,0.3223934042210799,0.006786200688259799,6.813021508744868e-08,,2.16741048440102e-05,1.1630496047664908e-11,0.1054817345869179,1.7934788821636799e-12,1.296348607263301e-24,9.967799621012688e-06,2.1840673334971536e-28,8.158584907307483e-07,5.715438025514036e-11,5.715438025514036e-11,7.319743245601396e-15,3.4179960184874094e-05,1.65885985824914e-08,1.2784754064849282e-09,3.7468919744394666e-13,2.0147912718295375e-07,6.341141548974115e-18,3.5196196686519306e-19,4.3297699531528056e-05,8.158584907307483e-07,7.319743245601396e-15,6.644359520310216e-10,0.3684324432515987,0.7190472361774622,3.4970717686066426e-10,6.457104491012838e-05,2.1966308230699523e-08,0.3684324432515987,2.9921127082628905e-07,0.001112629370399288,5.715438025514036e-11,5.2687845199375354e-17,1.2784754064849282e-09,3.05377117529899e-22,6.341141548974115e-18,6.512395672061649e-16,9.690457172528767e-62,0.0003343652498554509,2.2476473816690576e-17,2.2178942866236077e-28
fisherman,0.641196995501333,0.2432650400889499,0.641196995501333,0.10173461827650568,0.1978998776001621,0.9069676650349945,0.413030364356898,3.2668741103224656e-11,0.35088506672242625,0.35088506672242625,1.0,0.06115681965565692,1.6619893030746778e-14,0.9069676650349945,0.641196995501333,0.16110282217760552,0.641196995501333,0.018940778161899742,0.1978998776001621,,,4.2950540199319513e-07,0.2432650400889499,,0.000380857074299602,,0.641196995501333,0.2432650400889499,0.641196995501333,0.8157912212827018,9.20542105379647e-05,,0.8157912212827018,0.7258659440524808,0.16110282217760552,0.06115681965565692,0.48436733603761073,0.9069676650349945,0.413030364356898,0.7258659440524808,0.9069676650349945,3.260629239670253e-05,0.04612245248835388,0.35088506672242625,0.1978998776001621,0.8157912212827018,3.2668741103224656e-11,0.35088506672242625,0.35088506672242625,0.03493987870294854,0.413030364356898,0.009726870889345115,0.2432650400889499,1.0,0.35088506672242625,2.6422198114435104e-07,0.018940778161899742,,0.018940778161899742
fisherwoman,0.23941036698517865,0.09908303286311951,0.19801962696507713,0.5593184913401736,0.5593184913401736,1.0,0.02541110475392657,0.19801962696507713,0.07852394673317367,0.017615341107377634,0.19801962696507713,1.0226102170719637e-08,0.0013678638781089588,0.9070910637536838,0.4134533833787316,0.4134533833787316,0.07852394673317367,0.0005677295593066898,0.04585924962115194,,,0.9070910637536838,,1.0226102170719637e-08,,8.7129241506093e-16,0.0030996509503446266,0.5593184913401736,0.814238248882327,0.013336445023439739,,0.9070910637536838,0.4134533833787316,0.4134533833787316,0.4134533833787316,0.4134533833787316,0.2926876459625248,0.00926801191033974,0.5593184913401736,0.4134533833787316,0.48067438359712533,0.04585924962115194,0.2926876459625248,0.7261977517911121,0.03364155793238988,0.814238248882327,0.19801962696507713,0.02541110475392657,0.5593184913401736,0.5593184913401736,1.0,0.02541110475392657,1.0,1.0,0.2926876459625248,5.5325361174247735e-15,,0.0020518460039826024,5.5325361174247735e-15
ghetto person,0.9307169569413899,0.06714926812344418,0.29693950213943854,0.1176907047792892,0.4868611394841612,0.6020399271819953,0.43367801023556607,0.00022981101362879093,0.3847591591779081,0.9306384936989673,0.7281112186129339,1.1275398406689993e-07,4.807812406509788e-10,0.43367801023556607,0.8620090494497321,0.7942135394763807,0.2236509779298391,0.06714926812344418,0.6020399271819953,0.14086701598844203,0.1125105397609431,,6.888261461740177e-05,0.00020608862019314448,2.1356510189714884e-05,4.149494921702052e-09,0.6637172877642717,0.6637172877642717,0.2578364157591244,0.3847591591779081,1.0,0.27183158740450747,0.8620090494497321,0.5426560790400297,0.8620090494497321,0.8620090494497321,1.0,0.6020399271819953,0.43367801023556607,0.1176907047792892,1.0,4.8450967697369255e-06,2.5459306387911405e-08,0.011332093797039096,0.7281112186129339,0.6020399271819953,7.026088496323549e-11,0.05587799611305858,0.6020399271819953,0.4868611394841612,0.29693950213943854,1.0,0.29693950213943854,0.2578364157591244,0.3384935795319265,2.5676321292178373e-17,2.6057447431095155e-08,0.08545462166092989,3.6511768974912604e-13
