,actor,athlete,bartender,begger,chef,clerk,clown,coal mines person,commander,construction worker,cop,countryside person,delivery person,doctor,electrician,engineer,farmer,fashion model,firefighter,fisherman,fisherwoman,ghetto person,handyman,handywoman,hillibilly,hillibilly person,janitor,journalist,laborer,lawyer,mafia,mafia person,maid,mechanic,nurse,painter,pastor,physician,pilot,plumber,police officer,poor person,poverty stricken person,professor,rich person,rockstar,rural person,scientist,soldier,sports player,teacher,tennis player,thug,trash collector,umpire,urban person,waiter,waitress,wealthy person
cop,0.007221438645980349,0.08196520921485662,0.0004265504124459918,0.22465786211907512,-0.34611274949779886,0.21786297388554088,-0.4480360730008121,-0.36649741419840154,0.23145275035260937,0.08710721046291514,0.0,-0.4548309612343463,-0.25098431422831985,-0.21021498482711454,0.17709364448433562,0.14991409155019875,0.2382476385861435,0.2654271915202804,-0.1082916613241014,-0.01976801286935903,-0.08706968080602828,-0.2917536436295251,-0.5178003556007111,-0.625483024299382,-0.30243501820336977,-0.5447210227753789,0.25863230328674613,0.2722220797538145,0.27901696798734876,0.21106808565200663,-0.08706968080602828,-0.36973668614003896,0.2722220797538145,0.30619652092148575,-0.2849587553959909,0.3129914091550199,0.30619652092148575,0.11593965038252763,0.20427319741847239,0.30619652092148575,-0.4548309612343463,-0.35290763773133305,-0.3325229730307304,0.23145275035260937,-0.2713689789289225,0.20427319741847239,-0.25098431422831985,0.2654271915202804,0.09555498568192511,0.2654271915202804,0.31978629738855413,0.17709364448433562,0.3129914091550199,0.3129914091550199,0.24504252681967775,-0.604318502372099,0.11483532300397925,-0.5178003556007111,-0.43444629653374356
countryside person,0.023762020771893932,0.023762020771893932,0.07132623840663332,-0.03739197332991406,0.04414668547249645,-0.02380219686284568,0.11889045604137283,0.3023524383467966,0.06453135017309908,0.09680605747719839,0.11889045604137283,0.0,-0.07816130273111943,-0.0034175321622430532,0.06453135017309908,0.07812112664016746,0.05773646193956494,-0.07816130273111943,0.010172244304825329,0.02353568707137421,0.1581390229447126,-0.04418686156344831,-0.3533536533739734,-0.555258657183981,-0.24567098467530268,-0.21875031750063495,0.016967132538359575,0.04414668547249645,0.07812112664016746,0.07132623840663332,0.036996020658707995,0.036996020658707995,-0.07136641449758518,0.05773646193956494,0.11209556780783869,0.016967132538359575,-0.0034175321622430532,0.05773646193956494,-0.0102124203957773,-0.030597085096379817,0.07812112664016746,-0.13252040859939318,-0.12572552036585882,0.04414668547249645,-0.07816130273111943,0.003377356071291193,0.05773646193956494,0.07132623840663332,0.1324802325084412,0.05773646193956494,0.023762020771893932,0.037351797238962314,0.037351797238962314,0.023762020771893932,0.016967132538359575,-0.41790571440783,-0.13798831597663197,-0.07068664803996272,-0.30918750267128264
delivery person,0.044415950762918266,0.0036466213617131205,0.030826174295849884,-0.003148266871821126,0.044415950762918266,0.030826174295849884,-0.009943155105355372,-0.1934051374107792,0.05121083899645251,0.08955171226983305,0.017236397828781502,-0.13904603154250544,0.0,0.010441509595247256,0.024031286062315638,0.08518528016412363,-0.03032781980595811,0.017236397828781502,0.03762106252938413,0.16513589027178055,0.17859622385911433,-0.01673804333888962,-0.37327745322157313,-0.41365845398357465,-0.1444517822368978,-0.2655947845229024,0.08518528016412363,0.05121083899645251,0.09877505663119202,0.010441509595247256,0.017072220811108263,0.08437388874777751,0.07839039193058939,0.07159550369705525,0.044415950762918266,0.05121083899645251,0.05800572722998665,0.024031286062315638,0.07839039193058939,0.064800615463521,0.044415950762918266,-0.0778920374406975,-0.091481813907766,0.1259546095653289,-0.03032781980595811,0.010441509595247256,0.064800615463521,-0.03712270803949225,0.10556994486472626,0.09198016839765777,0.07159550369705525,-0.009943155105355372,0.017236397828781502,0.024031286062315638,0.030826174295849884,-0.39725178441680564,-0.11753111506223007,-0.11753111506223007,-0.25455913151258713
doctor,0.08029319998290374,0.053113647048766977,0.12785741761764324,0.182216523485917,-0.15752788819079366,0.1686267470188486,-0.37496431166388855,-0.40893875283155956,0.17542163525238286,0.14042591636551371,-0.18470744112493054,-0.37496431166388855,-0.2866307646279438,0.0,0.1686267470188486,0.16183185878531436,0.182216523485917,0.19580629995298537,0.11426764115057486,-0.04834476335619342,-0.10218609770552878,-0.2798358763944095,-0.49253577173821017,-0.6540597747862162,-0.34447210227753783,-0.5463771060875455,0.18901141171945124,0.18901141171945124,0.22298585288712225,0.20939607642005387,-0.10218609770552878,-0.3983134366268733,0.18901141171945124,0.243370517587725,-0.3206052057956148,0.28413984698893013,0.2637551822883276,0.22298585288712225,0.20939607642005387,0.27055007052186175,-0.05560456468778041,-0.38175919989742274,-0.422528529298628,0.1686267470188486,-0.2730409881608753,0.16183185878531436,-0.22547677052613585,0.22298585288712225,0.15503697055178012,0.22298585288712225,0.277344958755396,0.1686267470188486,0.243370517587725,0.25696029405479337,0.243370517587725,-0.5991956233705176,0.22086190839048347,-0.49253577173821017,-0.5244518528016413
electrician,-0.4721195025003206,0.03070222678121126,-0.11878531435654144,0.20057443261956653,-0.33622173782963627,0.023907338547677015,-0.44493994956618366,-0.200323973158952,0.1598051032183614,0.061841335398382435,-0.3769910672308415,-0.2478881907936915,-0.10519553788947306,-0.41096550839851265,0.0,-0.23429841432662302,0.08506133264948501,0.3976261913920588,-0.30224729666196515,0.18520362374058086,0.050600287867242466,0.010317562080608633,-0.31282871899077125,-0.48781305562611127,-0.1243840487680975,-0.4070510541021082,0.01711245031414288,0.37724152669145616,0.3840364149249904,0.2549335384878403,0.19866395732791464,-0.17822538311743286,0.35685686199085354,0.3976261913920588,-0.2818626319613625,0.42480574432619567,0.45198529726033254,-0.39737573193144426,0.15301021498482714,0.3976261913920588,-0.3769910672308415,-0.18673419669188357,-0.2139137496260204,-0.010067102619993995,-0.18673419669188357,0.12583066205069016,-0.07801598495533613,0.11903577381715602,-0.12558020259007563,0.3636517502243878,0.4112159678591272,0.21416420908663503,0.4451904090267983,0.4451904090267983,0.39083130315852455,-0.44493994956618366,-0.15130471594276523,-0.33974938616543904,-0.3566064025302389
engineer,-0.43840748813950503,0.05082446467495827,-0.044303970594520736,0.24108133521391628,-0.36366371757062865,0.19351711757917678,-0.5063563704748472,-0.2617403940676155,0.20710689404624527,0.02086043710204788,-0.39763815873829983,-0.30930461170235496,-0.214176176432876,-0.4519972646065734,0.13915801171090314,0.0,0.1459528999444374,0.4041586528187374,-0.24135572936701294,0.13783252899839138,0.030149860299720554,-0.12584262939693125,-0.42750148166963003,-0.5351841503683007,-0.17175514351028698,-0.4140411480822961,0.1187733470103004,0.39736376458520317,0.3701842116510664,0.24787622344745053,0.2185945305223943,-0.25251714503429007,0.3226199940163269,0.3837739881181348,-0.2957148352352865,0.37697909988460054,0.39736376458520317,-0.35007394110356027,0.1323631234773689,0.3430046587169294,-0.41122793520536827,-0.23456084113347858,-0.15981707056460226,0.03043979997435564,-0.180201735265205,0.1323631234773689,-0.05109885882805487,0.15274778817797152,-0.07827841176219169,0.3226199940163269,0.3701842116510664,0.17313245287857415,0.41095354105227166,0.4041586528187374,0.3837739881181348,-0.4180228234389024,-0.13137414274828546,-0.3736601473202947,-0.3704586058041629
farmer,-0.4271120229089199,-0.10775227593281189,-0.1553164935675514,0.12327392400735138,-0.2980091464717699,0.06211992990554338,-0.41352224644185154,-0.16211138180108564,0.0009659358037355514,-0.03688005506797454,-0.37954780527418047,-0.1824960465016882,0.007760824037269742,-0.365958028807112,-0.07377783476514083,-0.1824960465016882,0.0,0.3203256827798436,-0.2980091464717699,0.21632207264414532,0.14902040470747602,-0.09416249946574345,-0.34901193802387603,-0.4297739395478791,-0.052884599102531515,-0.32209127084920836,0.03494037697140662,0.29994101807924095,0.429043894516391,0.109684147540283,0.16248073829480997,-0.2009482685632038,0.1640432534085567,0.44263367098345946,-0.2504449288370304,0.43583878274992516,0.4494285592169936,-0.3115989229388383,0.1640432534085567,0.429043894516391,-0.33877847587297516,-0.09416249946574345,-0.16890627003461983,-0.07377783476514083,-0.08736761123220926,-0.06018805829807239,0.03494037697140662,0.07570970637261193,-0.11454716416634614,0.3678899004145831,0.4494285592169936,0.1912228063426935,0.4630183356840621,0.41545411804932253,0.3678899004145831,-0.2776244817711673,-0.10672593345186693,-0.24132926932520535,-0.29121425823823566
fashion model,-0.2805581912210967,-0.1990195324186862,-0.14466042655041245,-0.13107065008334404,-0.2601735265204941,-0.07671154421507032,-0.26696841475402827,0.018416891054408635,-0.029147326580330812,-0.2184641197728446,-0.28735307945463096,0.07277599692268238,0.07957088515621663,-0.2601735265204941,-0.26696841475402827,-0.321327520622302,-0.13107065008334404,0.0,-0.25337863828695983,0.3480196427059521,0.15957497248327834,0.04559644398854551,-0.19039370078740156,-0.31153670307340614,0.10573363813394293,-0.2307747015494031,-0.15145531478394664,0.2018788733598324,0.24264820276103777,-0.11068598538274138,0.36147997629328593,0.011511303022606056,0.03200666752147713,0.5008539556353379,-0.13107065008334404,0.56880283797068,0.43969996153352997,-0.26696841475402827,0.1611095439586272,0.41252040859939304,-0.24658375005342564,-0.029147326580330812,-0.04273710304739925,-0.1786348677180835,0.12713510279095608,-0.09709620891567294,0.22226353806043508,0.004827114587340253,-0.1990195324186862,0.3513664144975852,0.43969996153352997,0.10675043809035345,0.378545967431722,0.3377766380305168,0.25623797922810615,-0.2058144206522204,-0.16347303361273388,-0.15001270002540001,-0.18542975595161773
firefighter,-0.13687823225199813,0.039788861819891386,0.08055819122109675,0.20966106765824688,-0.4970073086293114,0.14850707355643888,-0.4562379792281061,-0.3067504380903534,0.20966106765824688,0.09235759765961116,-0.21841689105440865,-0.32034021455742195,-0.24559644398854558,-0.48341753216224304,0.12812240885583626,0.019404197119288757,0.1824815147241099,0.25722528529298627,0.0,-0.03462196257725858,-0.06154262975192615,-0.21162200282087446,-0.5730353060706121,-0.6268766404199475,-0.29036830073660147,-0.4922733045466091,0.2300457323588494,0.29799461469419153,0.3251741676283284,0.27081506176005465,-0.03462196257725858,-0.330749301498603,0.33196905586186265,0.31158439116126,-0.35431465572509296,0.33196905586186265,0.3523537205624653,0.0737633029875625,0.1824815147241099,0.33196905586186265,-0.35431465572509296,-0.2999555498568192,-0.3135453263238877,0.18927640295764414,-0.28636577338975083,0.21645595589178102,-0.13687823225199813,0.1688917382570415,0.10094285592169938,0.31837927939479416,0.3387639440953968,0.27081506176005465,0.3387639440953968,0.33196905586186265,0.33196905586186265,-0.5717510791981878,0.16728304123274917,-0.39805096943527213,-0.46982775569517465
fisherman,-0.017435897435897407,-0.0038461538461538325,0.0641025641025641,-0.031025641025641038,0.0641025641025641,0.023333333333333317,-0.04461538461538461,0.03692307692307689,-0.017435897435897407,-0.09897435897435897,0.05051282051282052,0.023333333333333317,-0.017435897435897407,0.03692307692307689,-0.0038461538461538325,-0.0038461538461538325,0.023333333333333317,0.009743589743589742,0.09128205128205125,0.0,,0.0641025641025641,-0.15333333333333332,,-0.031025641025641038,,-0.0038461538461538325,-0.07179487179487179,-0.017435897435897407,0.07769230769230773,0.1728205128205128,,-0.09897435897435897,-0.04461538461538461,0.03692307692307689,0.03692307692307689,0.009743589743589742,0.03692307692307689,0.03692307692307689,0.09128205128205125,0.009743589743589742,0.023333333333333317,0.03692307692307689,0.023333333333333317,0.023333333333333317,-0.017435897435897407,0.0641025641025641,-0.0038461538461538325,-0.04461538461538461,-0.08538461538461536,-0.0038461538461538325,-0.031025641025641038,0.023333333333333317,-0.0038461538461538325,-0.09897435897435897,-0.15333333333333332,-0.0038461538461538325,,-0.08538461538461536
