,african person,american person,british person,chinese person,eskimo,european person,french person,german person,greek person,hispanic person,indian person,iraqi person,irish person,italian person,japanese person,korean person,mexican person,middle eastern person,mongolian person,native american person,pakistani person,phillipines person,russian person,scottish person,thai person,vietnamese person
indian person,0.11968521177778098,0.014498155212964992,0.15076900771807217,0.3748847438391312,8.375311210975046e-05,0.001763181815193078,2.6755612959187614e-08,0.001763181815193078,0.5059745331471415,0.267012040128844,,0.007745650421217133,0.11968521177778098,5.417025790862689e-72,5.552908718343343e-05,0.097151174328951,0.0007796857654510663,0.00380614018832808,0.019378476142027166,4.384067659137484e-08,0.019378476142027166,2.917525384332579e-10,6.266720085780226e-06,1.1142657649418924e-05,0.00380614018832808,2.6755612959187614e-08
iraqi person,0.26166066012594924,0.0003374601233092142,0.26166066012594924,0.04886863041767477,0.04886863041767477,0.0026161147978262904,1.2412512608886304e-10,2.1069804825753556e-06,0.0026161147978262904,0.04886863041767477,5.850103583777633e-35,,2.7372433189451834e-07,4.154262207387013e-60,0.001013689418753799,7.685811726732412e-07,2.1069804825753556e-06,2.1069804825753556e-06,0.22379552928954327,1.324585631331447e-19,0.0005111978044484615,3.0116914377820755e-17,3.04430973991438e-09,9.585814279510779e-08,0.0048382024332135265,1.1098396279003691e-08
irish person,0.0015507532221211767,3.234995544035027e-05,0.0027956135742449517,1.0,0.0020346739104698183,1.0730558914591695e-06,5.859275621016714e-11,1.0730558914591695e-06,0.010771560245002584,0.04363848828993716,7.562819650424898e-29,1.605927219952582e-06,,3.3292056235231696e-64,3.234995544035027e-05,0.0010990263692578829,2.733597490915674e-06,4.0687066316262425e-07,0.18944321727984387,2.7645904459491622e-11,0.006369182057155375,4.569567092361263e-16,2.733597490915674e-06,2.2515866176928772e-13,0.0001021795739814024,2.3679123452539793e-14
italian person,0.049579678660666565,1.0,0.33013819789226073,0.8459203339472876,0.4440786650208435,0.0007639291470187478,0.1191152616391797,0.24700038047295766,0.1191152616391797,0.4440786650208435,1.625170172175788e-09,0.002874058447131546,0.24700038047295766,,0.01833749598356893,0.4440786650208435,0.24700038047295766,0.0007639291470187478,0.4440786650208435,3.133735343202172e-05,0.24700038047295766,0.00651419645318543,0.0007639291470187478,3.5659611680165427e-08,0.1191152616391797,0.0007639291470187478
japanese person,0.006891343060357345,0.00015116583008071253,0.01537694626010616,0.1063790838722708,0.15146195366829196,0.0008517971634159021,1.1048277682331934e-13,2.303659568869695e-06,0.0016297486229557854,0.07261001980337009,5.728618528637699e-23,6.344202393391116e-14,3.737260677773597e-06,3.258739851727371e-54,,0.0004306977382170128,0.00021075289117504633,5.757080417930245e-06,0.7878979902345633,1.1875890799888778e-10,3.253049221237425e-05,1.5105451473503554e-17,4.250743362081624e-10,1.0150443736615529e-12,5.152983997044225e-09,1.7413086277959904e-11
korean person,2.920612745635587e-06,4.521630829181251e-08,0.012840118985176854,0.7978178743375535,0.03940812019110777,0.01618553407320978,7.236084299362037e-21,6.787314365782591e-08,0.08624122694000633,0.6072920415686496,4.622227898316813e-13,1.3751302876360442e-14,1.5796090309568294e-05,4.991908219346184e-25,1.8218598334515966e-07,,1.8952334881507249e-06,0.00015336160654017854,0.1462515064644668,1.2295440416098698e-19,0.17014825206381134,9.64892392938944e-36,1.323641781386518e-11,1.0170370584449713e-10,0.005961473198393161,4.619738800683614e-11
mexican person,4.812864968829811e-05,0.00010411597948783123,0.0005722725916998098,0.21899857437085618,0.006399054657905141,6.135926710362488e-06,1.9901191604980145e-16,1.4047138287658783e-05,0.004814752882129051,0.053048915020170125,4.716493974824336e-15,9.449612902793035e-11,3.887973609523082e-06,3.140441682370936e-22,9.29494755216795e-06,0.034750222348736204,,2.3693116172675254e-07,1.0,8.922795749544589e-13,0.00273401151541503,1.358574929847758e-32,2.092414636082691e-13,5.317996279547065e-08,0.25456797198181247,2.6053662342456348e-11
middle eastern person,7.362835993829096e-05,7.263480938053708e-07,0.022804398011207247,0.7929332580123283,0.2213671191626042,0.00010284836840895707,3.1008415038860116e-13,1.1813839261131955e-10,0.09580923839388149,0.1888320527014764,6.431772585663105e-14,3.578915890671552e-11,2.7027904030536985e-07,5.945598685007701e-29,9.71614557965063e-08,0.002103752668532366,0.006475007648155031,,0.2549063823423391,5.065695361371047e-13,0.00021167740691394897,6.074234399178095e-35,1.574323594472874e-07,5.065695361371047e-13,0.003743550313344247,4.241409283945266e-12
mongolian person,1.2198031478819769e-05,2.638966743878239e-05,2.3796948672525606e-06,0.7389837760321016,0.15723038964975927,0.0011130530900367334,2.867889075713674e-19,2.0322490025161812e-14,3.7376585837944195e-06,1.0,1.81030903342368e-27,6.487418382920965e-13,6.226341205037953e-08,2.1917276002908433e-39,5.47067060057513e-06,3.9480561690405364e-05,0.00016370187504524512,1.6021644500230318e-06,,3.12742363910678e-10,0.0019931574951250032,1.1409119187483944e-30,5.060306313551631e-09,6.487418382920965e-13,0.0006044501759713523,3.9348897963810456e-08
native american person,0.006377841459150742,0.0006149236056583341,0.09939818617670285,0.004634021942465631,0.06555731365490675,0.0004289722679567188,1.0383938286712313e-12,9.519163965154542e-06,0.008469500571273731,0.1734288714835443,1.0999766888808745e-26,0.00013678351648517214,3.67675058724529e-05,2.62844656151832e-61,1.7346240651530595e-07,1.4963763498645154e-08,2.4151027627816022e-06,2.4151027627816022e-06,0.6275811587197648,,0.00019557023824987835,1.532269956333114e-13,5.270214336496316e-08,2.8154169877593088e-08,0.3313704734886838,1.0383938286712313e-12
pakistani person,6.82475216858221e-08,0.005876929843550814,0.025480340869637227,0.0034054500000719624,0.17025999184094,0.07154416111756838,1.3292214858277592e-22,1.0960316600850077e-07,0.00459505899495236,0.6682044156328153,3.1824600649398257e-15,5.521395551083073e-10,0.00020964857421790754,4.166577690610599e-26,8.246709249054695e-09,6.841082746778952e-06,7.022249891660545e-05,0.0019173706531914277,0.7321219117923251,4.908162374639994e-13,,1.205272807733303e-41,1.7944287190936164e-06,2.41141241649533e-08,0.04838629807780544,1.4761321907060546e-08
phillipines person,0.004441051953576879,0.06702551565664897,0.15663896237664976,0.3232465438928134,0.887702080438314,0.0232385526309623,0.04683337725114303,3.6411877561223887e-06,0.08863674001917703,0.15663896237664976,5.3052817752305845e-05,0.00032775976561895046,0.25813241102967677,6.463432444282163e-06,0.015497374523574543,0.12179656842095875,0.00019859287296398025,0.002736162145142319,0.25813241102967677,0.0010938377158220968,0.887702080438314,,0.006678092908907416,6.463432444282163e-06,0.20457148550136273,0.00019859287296398025
russian person,3.987250430409754e-07,8.795487771513557e-08,6.865421970337754e-05,0.5099666633149041,0.9250313534992513,0.006321192671251946,8.087019872983399e-16,0.0012877832126556971,0.04778538412088943,0.023550621119442266,1.198854260694453e-12,7.816919376529118e-09,0.008132649100460913,2.629830554328714e-21,3.987250430409754e-07,0.030177692264051603,0.006321192671251946,1.7969039665220932e-06,0.9250313534992513,1.3266598299762617e-09,1.8738382558470687e-05,1.4574587918344698e-49,,1.0535344539912247e-11,0.1091844956079151,1.496325997712575e-08
scottish person,3.3554847886688407e-06,0.021390608465665657,1.0,0.08505765659629144,0.00025983780974845564,0.0015102887434024694,1.152301308572469e-13,8.302494280982413e-11,5.007780519474043e-05,0.8488931071821081,1.0457813167287654e-29,4.730027999006645e-13,0.002133153520684966,4.175238035535396e-52,3.4294760521935786e-05,0.0015102887434024694,0.0015102887434024694,4.788619151032961e-07,0.4455685096356564,2.706563575870521e-15,0.016959321267708594,1.5382452972142033e-18,8.302494280982413e-11,,0.00025983780974845564,1.5290557264550164e-07
thai person,2.3803446466854303e-06,0.0006310266995639532,0.34952376927873935,0.2687875956668846,0.7341442081110363,3.38479121317941e-06,1.0476745979927922e-14,0.001565480922313249,5.6962185972326515e-05,0.14791670472360935,3.1345437609563177e-18,2.1701374691703637e-09,1.449035393602099e-07,2.631685950941334e-29,4.708432709253052e-15,0.00814895776909999,8.74194426830712e-08,0.0004528296493230919,0.2687875956668846,3.810978907642444e-07,0.0004528296493230919,2.0455647148954342e-34,5.759659283966453e-12,4.325539684070885e-13,,3.2579417228871e-08
vietnamese person,1.6478275041031153e-05,0.0011158026539809433,0.0005572667245430471,0.06366375398711493,0.5795567550611763,0.0052055067641466266,1.6425903419004036e-27,1.362137429574539e-07,0.05124698047157684,0.1953841398503664,7.938582521154346e-17,4.237360746744612e-09,7.361570761702804e-10,1.6612125633028648e-22,4.237360746744612e-09,0.05124698047157684,0.0028620577948616347,0.007132893751224431,0.9261561434839225,1.0630684090919312e-15,0.0028620577948616347,1.6721845175313486e-42,3.555772226538368e-10,4.237360746744612e-09,0.007132893751224431,
