,african person,american person,british person,chinese person,eskimo,european person,french person,german person,greek person,hispanic person,indian person,iraqi person,irish person,italian person,japanese person,korean person,mexican person,middle eastern person,mongolian person,native american person,pakistani person,phillipines person,russian person,scottish person,thai person,vietnamese person
iraqi person,0.12861111111111112,0.10777777777777786,0.0036111111111110095,0.1216666666666667,-0.0033333333333332993,0.20499999999999996,0.2119444444444445,0.23972222222222217,0.19111111111111112,-0.19777777777777772,-0.5033333333333333,0.0,-0.01722222222222214,-0.6283333333333333,0.10083333333333333,-0.4616666666666666,0.22583333333333333,-0.3505555555555556,0.16333333333333333,-0.48944444444444446,0.23277777777777786,0.22583333333333333,0.22583333333333333,0.01750000000000007,0.1216666666666667,0.12861111111111112
irish person,0.015000000000000013,0.008055555555555594,-0.06138888888888888,0.15388888888888885,-0.026666666666666727,0.15388888888888885,0.1955555555555556,0.2858333333333333,0.2025,-0.235,-0.4780555555555555,-0.27666666666666667,0.0,-0.4988888888888888,0.1052777777777778,-0.45722222222222225,0.3275,-0.3252777777777778,0.12611111111111106,-0.4502777777777778,0.33444444444444443,0.3205555555555556,0.3205555555555556,-0.04055555555555557,0.20944444444444443,0.09138888888888885
italian person,0.033055555555555505,0.060833333333333406,-0.022500000000000075,0.046944444444444455,0.033055555555555505,0.053888888888888875,0.07472222222222225,0.07472222222222225,0.08166666666666667,-0.022500000000000075,-0.30027777777777775,-0.043333333333333335,0.012222222222222245,0.0,0.046944444444444455,-0.24472222222222217,0.08861111111111108,-0.16833333333333333,0.06777777777777771,-0.29333333333333333,0.07472222222222225,0.08861111111111108,0.08166666666666667,0.060833333333333406,0.06777777777777771,0.046944444444444455
japanese person,0.028055555555555556,-0.027500000000000024,-0.12472222222222223,-0.027500000000000024,-0.013611111111111074,0.1669444444444444,0.11138888888888893,0.31972222222222224,0.26416666666666666,-0.26361111111111113,-0.38166666666666665,-0.22194444444444444,-0.041388888888888864,-0.36083333333333334,0.0,-0.34,0.38916666666666666,-0.3052777777777778,0.0002777777777777657,-0.32611111111111113,0.2711111111111111,0.36833333333333335,0.40305555555555556,-0.048333333333333284,0.06972222222222219,0.09055555555555556
korean person,0.11666666666666659,0.08194444444444438,0.019444444444444486,0.07500000000000007,0.09583333333333333,0.1444444444444445,0.06805555555555554,0.13055555555555565,0.12361111111111112,-0.08472222222222214,-0.4041666666666666,-0.14027777777777772,0.04027777777777786,-0.55,0.09583333333333333,0.0,0.13749999999999996,-0.3138888888888889,0.10277777777777775,-0.3833333333333333,0.09583333333333333,0.12361111111111112,0.15833333333333333,0.07500000000000007,0.10277777777777775,0.0888888888888889
mexican person,0.00416666666666668,-0.06527777777777777,-0.08611111111111112,-0.07222222222222222,-0.0027777777777777957,0.08055555555555555,0.10833333333333331,0.275,0.1638888888888889,-0.14166666666666666,-0.19722222222222224,-0.1486111111111111,-0.06527777777777777,-0.20416666666666666,0.04583333333333334,-0.18333333333333335,0.0,-0.17638888888888887,0.03888888888888889,-0.19027777777777777,0.18472222222222223,0.30972222222222223,0.3236111111111112,-0.04444444444444445,0.05972222222222223,-0.016666666666666663
middle eastern person,0.06666666666666665,0.06666666666666665,0.018055555555555602,0.08055555555555549,0.011111111111111072,0.13611111111111107,0.15694444444444444,0.18472222222222223,0.1430555555555556,-0.1069444444444444,-0.4055555555555555,-0.1972222222222222,-0.03749999999999998,-0.5722222222222222,0.1152777777777777,-0.35694444444444445,0.18472222222222223,0.0,0.1430555555555556,-0.46805555555555556,0.17083333333333328,0.17083333333333328,0.19166666666666665,0.03194444444444444,0.12916666666666665,0.1430555555555556
mongolian person,-0.04944444444444446,0.06861111111111107,-0.11888888888888888,-0.03555555555555556,-0.0008333333333333526,0.13805555555555554,0.19361111111111107,0.3116666666666667,0.29083333333333333,-0.23694444444444443,-0.34805555555555556,-0.31333333333333335,-0.09111111111111114,-0.41055555555555556,0.20749999999999996,-0.3758333333333333,0.3672222222222223,-0.36194444444444446,0.0,-0.3688888888888889,0.1658333333333334,0.3672222222222223,0.41583333333333333,-0.014722222222222192,0.15888888888888886,0.04083333333333333
native american person,0.06944444444444442,0.03472222222222221,0.0625,0.09027777777777779,0.03472222222222221,0.11805555555555558,0.09722222222222221,0.13194444444444442,0.125,-0.08333333333333326,-0.3819444444444445,-0.125,0.02083333333333337,-0.5138888888888888,0.06944444444444442,-0.35416666666666663,0.13194444444444442,-0.2152777777777778,0.08333333333333326,0.0,0.10416666666666663,0.13888888888888884,0.11805555555555558,0.05555555555555558,0.11805555555555558,0.06944444444444442
pakistani person,-0.06750000000000003,-0.0188888888888889,-0.05361111111111111,0.00888888888888889,-0.06750000000000003,0.21027777777777779,0.1061111111111111,0.32833333333333337,0.2727777777777778,-0.17166666666666666,-0.28277777777777774,-0.255,-0.17166666666666666,-0.28972222222222227,0.06444444444444447,-0.2411111111111111,0.3491666666666667,-0.2619444444444445,0.14083333333333337,-0.2619444444444445,0.0,0.32833333333333337,0.3213888888888889,-0.11611111111111111,0.12,0.00888888888888889
phillipines person,0.015277777777777779,-0.0888888888888889,-0.07500000000000001,0.029166666666666674,-0.033333333333333326,0.0986111111111111,0.08472222222222223,0.26527777777777783,0.14722222222222223,-0.1375,-0.20694444444444446,-0.15833333333333333,-0.06805555555555554,-0.21388888888888888,0.056944444444444464,-0.17916666666666667,0.31388888888888894,-0.17222222222222222,0.029166666666666674,-0.20694444444444446,0.1958333333333333,0.0,0.2513888888888889,-0.061111111111111116,0.0222222222222222,0.09166666666666667
russian person,-0.04583333333333334,-0.04583333333333334,-0.025000000000000022,-0.05972222222222223,-0.03194444444444444,0.009722222222222243,0.07916666666666666,0.19722222222222222,0.1902777777777778,-0.10138888888888888,-0.1638888888888889,-0.14305555555555555,-0.05277777777777776,-0.19166666666666668,0.03749999999999998,-0.1986111111111111,0.31527777777777777,-0.17777777777777778,-0.004166666666666652,-0.17083333333333334,0.21805555555555559,0.37777777777777777,0.0,-0.06666666666666665,0.09305555555555559,-0.03888888888888889
scottish person,-0.008333333333333304,-0.03611111111111115,-0.043055555555555514,0.012500000000000067,0.06805555555555565,0.17222222222222228,0.2138888888888888,0.3111111111111111,0.2416666666666667,-0.10555555555555557,-0.42500000000000004,-0.28611111111111104,-0.043055555555555514,-0.5222222222222223,0.13750000000000007,-0.4666666666666666,0.3319444444444445,-0.36944444444444446,0.07499999999999996,-0.45972222222222225,0.3041666666666666,0.3388888888888889,0.35972222222222217,0.0,0.13750000000000007,0.061111111111111116
thai person,0.0011111111111111183,0.014999999999999958,-0.1308333333333333,-0.05444444444444446,0.06361111111111112,0.10527777777777775,0.1191666666666667,0.3344444444444444,0.24416666666666664,-0.235,-0.3461111111111111,-0.235,-0.13777777777777775,-0.3738888888888889,0.17472222222222217,-0.33916666666666667,0.3830555555555556,-0.3113888888888889,0.0566666666666667,-0.36694444444444446,0.22333333333333338,0.41083333333333333,0.35527777777777775,-0.04055555555555551,0.0,0.08444444444444449
vietnamese person,-0.06472222222222224,0.018611111111111134,-0.10638888888888887,0.053333333333333344,-0.016111111111111076,0.22694444444444445,0.20611111111111113,0.35194444444444445,0.22694444444444445,-0.18972222222222224,-0.35638888888888887,-0.30777777777777776,-0.08555555555555555,-0.4188888888888889,0.0880555555555555,-0.39111111111111113,0.3936111111111111,-0.39111111111111113,0.10888888888888887,-0.38416666666666666,0.2686111111111111,0.27555555555555555,0.4213888888888889,-0.030000000000000027,0.1019444444444445,0.0
