,acne covered person,acne ridden person,attractive person,bald person,bearded person,beautiful person,black haired person,blonde person,brown haired person,brown skinned person,brunette person,clean shaven person,curly haired person,cute person,dark skinned person,disfigured person,dreadlocked person,fat person,fit person,gray haired person,handsome person,hunchback person,large person,light skinned person,long haired person,muscular person,obese person,pale skinned person,pierced person,redheaded person,short haired person,short person,spiky haired person,tall person,tattooed person,thin person,ugly person,unattractive person,underweight person,white person
brunette person,0.5608122825460342,0.8677621455162039,1.5732545807338232e-11,3.05416264338258e-24,1.7293235151661583e-05,2.254435728559381e-28,7.347497320628982e-12,0.36063960578236964,0.0014680606259923226,4.274457857679842e-07,,2.3478138445196257e-09,0.31751751395034356,0.0035084926926037424,0.0014680606259923226,3.126460932521014e-09,1.4285163127983982e-18,2.254435728559381e-28,5.1661720886281974e-15,9.44515333992136e-17,0.1281257065709117,2.5735576193825156e-07,0.024658120940571755,0.2124516728287359,0.7391195385741278,1.557575409020814e-06,0.012201350454432023,2.5735576193825156e-07,0.0011217644492058493,1.0360619481213717e-06,0.05573696525799946,0.0018952479839194564,2.4383227342072216e-06,6.432714371257819e-07,6.848095072501575e-35,0.009824574695391058,2.2940585425541e-12,0.2124516728287359,0.06650440323275628,0.27993232936892704
clean shaven person,0.05244103201064729,0.15661871095091745,4.7459864865785475e-05,0.24729617721251845,0.6062824789896955,0.796678632051534,0.09346630642754039,0.05244103201064729,0.24729617721251845,0.15661871095091745,0.0006816261418395588,,0.8981045864768114,0.004382677161549124,0.009939076188268513,2.5828193320127167e-05,8.972048825286277e-07,2.512504760102472e-20,1.0678216808121817e-09,4.7459864865785475e-05,0.009939076188268513,8.089554785981889e-05,0.36891581523539774,0.24729617721251845,1.0,0.8981045864768114,0.004382677161549124,0.43935096911862687,0.07090154406916668,0.009939076188268513,0.004382677161549124,0.15661871095091745,0.004382677161549124,8.089554785981889e-05,4.1222970596609134e-08,0.19717178564309418,4.829270450336464e-11,0.796678632051534,0.30235914142619214,0.07090154406916668
curly haired person,0.02480621387961028,0.01587860470386485,2.7146396804824446e-08,0.000476441354172469,0.6430982000889096,0.18524428403091345,3.832860379123222e-06,1.3923548146914752e-05,0.05607707486328008,0.08120761074412863,0.11475687441878751,1.0872003843350616e-05,,0.1360506356832602,0.0008851992818159839,1.1525586187140931e-07,6.85333382869408e-11,2.6702314697626204e-34,4.717804191116671e-13,2.996210517045267e-14,0.00016602594733878618,8.975594825982521e-06,0.0020478988143535805,0.3616349283571984,0.3205771627698304,0.0006249102189843476,2.994938603194615e-05,0.02024540458765941,0.00017048109209699376,0.01587860470386485,0.0008851992818159839,0.01950269878839611,3.394765441938314e-09,1.7234875914571717e-06,1.0280657189467722e-20,1.958162762246134e-05,1.1956600907482537e-14,0.9339359449767146,0.012831803737480059,0.24646142338000707
cute person,0.7390197009042212,0.007395655469957718,2.142309492287114e-12,0.029807446264297262,0.8147734962039306,0.8023928463081177,0.00028868726666023343,3.6290499129546507e-06,0.004404321133516982,0.3172582395837042,0.007395655469957718,5.761936735505878e-14,0.358665059661919,,0.007395655469957718,3.1529825855643706e-10,2.1988111171749576e-08,3.4682403692987837e-38,7.802439292074266e-22,1.1859578521191798e-18,0.0031732413345468362,2.1988111171749576e-08,5.332953934822546e-05,0.06626054172575163,0.06626054172575163,3.918911140628845e-05,9.614154017322778e-08,0.0005909604985240721,0.009510461212610682,1.5375485328235299e-06,0.00021721567257570578,0.03605063324288582,1.8369913134785138e-05,1.5274200770494313e-10,1.7238646288905187e-20,0.005755987258919133,2.1988111171749576e-08,0.8677118211844119,8.049672977265653e-05,0.358665059661919
dark skinned person,0.45007494517734575,0.6140623788657824,6.445907960770875e-10,1.974606291288237e-11,0.19386751490365356,0.11025480193026929,2.9367300322284856e-13,1.4919991537033158e-05,0.12998961204644563,0.8665222736868774,0.7367443523974191,4.348949152253224e-06,0.05298312614322033,0.035342511177883326,,3.600328667836914e-09,1.1690605228829804e-09,1.633359974948932e-27,1.0423322477310532e-16,1.1000880392520346e-14,0.09860134013208532,1.1690605228829804e-09,0.04336052324971392,0.5013061572864106,0.6140623788657824,0.05298312614322033,0.000137475510483581,4.4992972377394506e-08,0.0005226355715127686,0.007009435256290934,6.751042008320838e-05,0.0006874781780070787,1.4919991537033158e-05,1.02911340767576e-05,1.1219248696344198e-34,0.0017713710753325743,3.247126232780759e-11,0.45007494517734575,0.1531878817786219,0.12998961204644563
disfigured person,0.0675139735478448,0.10020924316387769,1.28588159049696e-11,9.02556809020295e-06,0.020140715283351415,0.23418810342752172,1.2790436981580828e-05,5.139524604602049e-05,0.5843638968390668,0.4658178907974835,0.04410873144007803,0.0004343933199309366,0.36202389760707765,0.4658178907974835,0.00585760193266649,,7.143588465751743e-08,4.519993659488708e-45,1.7734785194306272e-10,8.918692976348373e-11,0.0002586517341321824,1.3234308649468339e-09,0.00585760193266649,0.14432518775891273,0.017133554465827476,0.00023155619932751045,0.02792987037944099,0.004527708942320786,0.7153344398011421,0.0001557845235740697,0.0001557845235740697,0.01715045781353957,0.0013166845485989382,5.855686926125193e-06,4.685327784346384e-16,0.003264574828179559,1.8629566653705266e-16,0.20184091364765683,0.7153344398011421,0.20184091364765683
dreadlocked person,0.7074658206169528,1.0,0.0025860479449076957,0.0025860479449076957,0.8956872844595034,0.25994093694857745,7.671273775534299e-08,0.000324495200739233,0.0006709185320860631,0.303522098338796,5.425426385793174e-06,0.0009101907210377262,0.7792330923348123,0.038787390074972034,0.01861932253206093,1.926633997575491e-10,,5.5986011961148146e-33,1.3338824788855328e-13,7.165238523526494e-07,0.08575311266976562,3.1198462004319454e-06,0.22364426081203154,0.030551402410048153,0.303522098338796,0.038787390074972034,0.0025860479449076957,0.014648413227012387,0.9255512640127559,0.6403875810882459,0.000324495200739233,0.0033586316508566064,0.0048120983909603916,1.2078707460882387e-06,2.848385202448201e-16,0.06029394135136404,1.3338824788855328e-13,0.22364426081203154,1.0,0.07453654151983562
fat person,0.8873659913127088,0.6707400594626525,0.0005363360521293404,0.15816576686321743,0.6901282201390518,0.7774772217440922,0.08867960277805195,9.099990559508651e-05,1.0,0.15816576686321743,0.04615887571278854,0.0043945068186374584,0.47818957529745487,0.47818957529745487,0.00659568241612841,0.004323995860166987,1.5356671979949712e-10,,4.995402690704096e-15,0.0016732679203986566,0.11357635642970647,7.698115981785694e-09,0.15816576686321743,0.8873659913127088,0.00659568241612841,0.11766024863769751,0.15816576686321743,0.022250383567785484,0.20073483546318516,0.15816576686321743,0.15816576686321743,0.006533261643248729,0.01589290307848511,0.010044546223361067,7.175671503852035e-06,1.0,1.1261637427431214e-06,0.08882766330083353,0.6707400594626525,0.47818957529745487
fit person,0.025980236448851418,0.7620752090543337,2.3267051954436462e-10,0.008285655052705211,0.7767332962026426,0.31269771206215946,0.002197276051955476,1.6709129471222753e-05,0.008285655052705211,0.00035631886523501113,0.04335162481021279,0.0015206934516303326,0.31269771206215946,0.47961688626166515,0.000782165811904742,2.24607302882447e-12,2.5077478984620106e-11,1.3067710644635752e-35,,1.6709129471222753e-05,0.0026925219599860314,1.4648808720070473e-07,0.014964497860643838,0.025980236448851418,0.014964497860643838,0.31269771206215946,0.04335162481021279,0.006232965411191265,0.006232965411191265,0.0033390520311341798,0.0016505439455669149,0.002197276051955476,3.969823583389195e-06,0.0005392840273582534,3.91317516438501e-12,0.011269752113261153,3.417315637908593e-16,0.4192273113059954,0.08507383065365734,0.9196263340943576
gray haired person,0.0020806185425768383,2.323193585241682e-10,4.2732151099082375e-06,0.0020806185425768383,0.23755083377088343,0.8331276224670294,0.0009430797909100694,0.00029066695676426544,0.17177722518375482,0.13916032143643167,0.24728534907294886,0.0366463619064806,0.673404880993091,0.006069835414767899,0.008021341606967441,7.84500977778473e-05,0.00302685177351445,1.2812977674353312e-09,0.0001975065756065131,,0.8821492363072667,0.0001975065756065131,0.0001244510889832333,0.8331276224670294,0.3988565697183783,1.9973018838767707e-05,0.0020806185425768383,0.006069835414767899,1.9973018838767707e-05,0.29135035981908175,0.09083785294565005,0.16906531556807458,0.011265705442022742,6.802051979161056e-06,4.274455903865276e-18,0.0014426142503100262,6.849453741224828e-08,0.04494892539591795,0.014856863528249983,0.205177461038495
