,acne covered person,acne ridden person,attractive person,bald person,bearded person,beautiful person,black haired person,blonde person,brown haired person,brown skinned person,brunette person,clean shaven person,curly haired person,cute person,dark skinned person,disfigured person,dreadlocked person,fat person,fit person,gray haired person,handsome person,hunchback person,large person,light skinned person,long haired person,muscular person,obese person,pale skinned person,pierced person,redheaded person,short haired person,short person,spiky haired person,tall person,tattooed person,thin person,ugly person,unattractive person,underweight person,white person
brunette person,0.054995351523077586,0.015443442464210517,8.187094024739142e-09,8.553282800215624e-43,4.230324101311552e-21,6.774558602933299e-24,1.2162655342397492e-32,3.8560689351420964e-06,4.811358768968273e-49,9.436984469663578e-46,,0.10230300394477984,1.0375399859155586e-07,1.629770002162407e-09,0.0001124338605995597,6.755523988472531e-07,2.6919330218116145e-07,2.667874337859342e-28,1.4703813683579443e-11,0.0011014942841590307,1.0679224642067467e-05,0.0044823436163753515,0.09577721817894369,6.755523988472531e-07,0.13399159306133065,1.6597900371545312e-10,0.0044823436163753515,1.204138956834217e-05,2.6121892559647827e-05,1.3927133897737697e-08,5.386205055771664e-06,4.994401264130489e-10,1.134344580522264e-12,0.5059534744600696,4.016028691984952e-07,6.755523988472531e-07,6.755523988472531e-07,0.18299550659144137,0.453375632731905,3.973817854114535e-05
clean shaven person,0.007048300462411595,0.028239560089901826,3.887950321593296e-06,0.051673959848787226,0.14601031871625003,0.003208838057257012,0.14601031871625003,0.028239560089901826,0.08929109135026281,0.3938681811665832,0.9031438465343725,,2.3498753408010933e-06,3.887950321593296e-06,0.00037653768478523235,0.22598817002882005,6.306064021239807e-08,4.7566592597350103e-26,2.3498753408010933e-06,0.14601031871625003,3.887950321593296e-06,0.03765721412354044,0.9031438465343725,0.3327110057005423,0.2726963498117755,0.00037653768478523235,0.17973713801383176,0.00020701238984496102,0.3327110057005423,0.00037653768478523235,0.0005498060552445306,0.0013711771447825834,1.3657093810086038e-05,0.542697253075388,0.0013711771447825834,0.020066504241107994,0.002175070669144243,0.08929109135026281,1.0,0.01454503916157843
curly haired person,0.0008389199079247211,3.516306465455038e-05,1.2771446609509073e-14,0.008694572520179966,0.0044898189051283685,0.02847067441908932,0.017775451305178804,0.002873687737864528,0.005076135471195096,0.017921495389477477,0.005076135471195096,0.5402981514083929,,6.611060345463262e-06,2.2507087524020712e-05,7.698565363598064e-05,1.605798404276683e-07,4.2287741653566165e-56,1.202802987705149e-12,0.008694572520179966,0.0007884407315486138,0.00015767378435385828,0.7267992415606539,0.18978806084919322,0.662533831829726,7.286568545613776e-15,0.023101573891092776,0.05454601945419492,0.16210052088739568,0.010963019341978339,1.182977612350838e-08,1.0176912819675664e-13,2.849950723165612e-07,0.29445776133220203,0.005076135471195096,5.9271312259409904e-08,9.991248185184956e-06,0.29445776133220203,0.0964354852960356,0.0004325426340909797
cute person,6.822060132341357e-10,2.5355032729177445e-05,4.319083535168894e-15,0.04064940122550749,0.07273300153934455,0.00022861289652616938,0.04053159479505479,0.39479127806454695,0.0008515845541016361,0.0048959232821703755,3.468725058407527e-06,3.109678497654888e-19,1.4209125773695081e-29,,5.03760410416878e-06,0.01683105272767143,3.5819767397933467e-09,3.837486766483194e-42,3.818785526406934e-11,0.00044791984716857885,0.0002920233644077865,0.0011491583873492717,0.23328150940926268,0.013584413713056798,0.026510932954058132,9.311404293748217e-14,0.733684347387378,1.8336832001487408e-05,0.44424698305634674,0.2690741300259045,2.06122964272964e-10,2.5013180396953187e-05,1.5759719494774773e-17,0.14832711829755624,0.00022861289652616938,1.8336832001487408e-05,0.01683105272767143,0.34973406934757667,0.49610175234621334,2.1987908975744776e-07
dark skinned person,0.0004917723246325652,0.009255237443724765,4.873642074562388e-08,0.05717124283839396,0.14387191989630232,0.0017397078559586562,0.06817273238632804,0.009255237443724765,0.03784114988511621,0.03784114988511621,0.08402666107867678,0.11577923507358198,0.00036979441839796146,0.046103142705733374,,5.834888362209542e-11,0.544685475487078,4.575194388050866e-52,5.960458312038151e-10,0.015232037565312665,0.2236384133760919,0.004163158117872157,0.3409816209714913,0.43601522180971486,0.729859591605154,2.1737844250395932e-07,0.8629218699561818,0.002368437686444964,0.046103142705733374,0.007117511270247286,3.286381491333826e-10,6.205549395311358e-12,8.119709588461132e-06,0.43601522180971486,0.00018476840315307465,0.0002500216719997675,0.0002500216719997675,0.3002410457508594,0.12020447603959178,4.13259585436175e-05
disfigured person,0.02049141854159037,0.0001487227683716074,2.906026284545199e-10,0.07194117800095531,0.11740861273180356,0.07194117800095531,0.2291019646359822,0.04862701689770459,0.14555279098725793,0.007734357264727009,0.0010967461449133938,0.00042206297893164165,0.0007857845304787261,0.0002112688878866871,0.7322338631388766,,0.3045319975064178,1.498416960702546e-42,1.7410547545651574e-10,0.0010967461449133938,9.228539683698869e-09,0.392243960631103,0.7322338631388766,0.23091053250278695,0.44159455979725437,5.181669644834465e-13,0.6691293008408581,1.9107765497967203e-07,0.016497647950923382,0.010197415968720282,8.54484294286318e-11,1.4499233484655948e-09,9.604828443454383e-10,0.1709003285655169,0.0035677892424861913,0.0026091789149963484,1.6683683876186355e-09,0.23091053250278695,0.07194117800095531,4.1281177066717335e-08
dreadlocked person,8.278273958993615e-07,8.278273958993615e-07,2.0883684899012402e-06,0.002313428285181063,0.050802880702887576,0.02362019210411103,0.023588005081379464,0.08221111084970474,0.004118067220081324,0.0001687473251954694,0.004118067220081324,0.9029818465150194,0.007091922254754405,0.4346698921079626,3.833147295294581e-16,1.8068829198009492e-09,,1.139241854662853e-42,3.2115928157317795e-06,0.002313428285181063,0.003121209997389356,0.0030138091734221786,0.11796148561934688,0.19276408049618343,0.19276408049618343,5.4714404321652194e-14,0.33961762299298737,0.0030138091734221786,0.13987156987739668,0.011767444402895401,1.1750235513524883e-11,2.8626684309336903e-09,2.0883684899012402e-06,0.13987156987739668,8.112054512187416e-05,7.517864151304429e-06,0.0004756476002678834,0.7945858792265953,0.01473687974607062,8.278273958993615e-07
fat person,0.025463813593884024,0.025463813593884024,0.00010787715936631856,0.30687311000426076,0.812057660723251,1.0,0.7348228081947943,0.30687311000426076,0.30687311000426076,0.49727652974010705,0.49727652974010705,0.812057660723251,1.0,0.12790610661918833,0.8647755725953927,0.08644085844169892,0.009539863837865599,,1.6710192780672978e-07,0.8647755725953927,0.23706222353802114,0.12790610661918833,0.7349363755582552,0.49727652974010705,0.7349363755582552,0.009539863837865599,0.8647755725953927,0.03968313552940016,0.609463343481981,0.8647755725953927,0.025463813593884024,0.06116421588083376,0.06123084972518596,0.12790610661918833,0.06123084972518596,0.03968313552940016,0.0017228006977373477,0.49727652974010705,1.0,0.06123084972518596
fit person,0.002016482318520448,0.01876230626098578,4.041712565927661e-05,0.6518114890686582,0.01557795576925865,0.003696043278477987,0.008326907167657964,0.0472721316654793,0.0472721316654793,0.003696043278477987,0.0010655391971917606,0.16415288040618914,0.037278847041933676,0.14894728177463903,0.008575856013722016,0.05733089508937285,1.2456048111436497e-05,1.0384310612269507e-39,,0.2401465892318136,0.01557795576925865,0.36696265556712765,0.928104213268601,0.6518114890686582,1.0,1.632778769930601e-13,0.0027768802924398343,0.10449361098068877,0.07131403780607307,0.5882958222056889,1.939742434709582e-08,7.057968838334465e-06,4.795501247882446e-11,0.47045082915648107,0.011273278311966114,0.10449361098068877,0.004951834198211191,0.5882958222056889,0.8568122906353399,0.527467337178855
gray haired person,2.607004987307494e-09,4.118255036730201e-05,2.512478964547781e-13,0.0029502872089761365,0.905944685514513,0.20382986841744663,0.12609602745763093,0.35158770649859405,0.35158770649859405,0.6721019731793723,0.4460383610856691,0.04336919862521689,6.271278087572953e-05,0.0001298774505893141,0.0006564436937345865,0.0001298774505893141,2.9336633081699326e-05,2.170807975235089e-20,0.0003432487842583638,,6.8306364364095725e-06,6.271278087572953e-05,0.9325434036503468,0.1280346882995131,0.03396148846670924,3.9342387968943074e-08,1.0,0.0012194377613854905,0.04209802057800876,2.4790054131900686e-06,9.070070185956948e-11,1.3842336114073012e-09,2.607004987307494e-09,0.35158770649859405,4.118255036730201e-05,4.069553847440738e-07,0.0003432487842583638,0.39855878868278605,0.5534325580183128,1.6240431641042396e-06
