,acne covered person,acne ridden person,attractive person,bald person,bearded person,beautiful person,black haired person,blonde person,brown haired person,brown skinned person,brunette person,clean shaven person,curly haired person,cute person,dark skinned person,disfigured person,dreadlocked person,fat person,fit person,gray haired person,handsome person,hunchback person,large person,light skinned person,long haired person,muscular person,obese person,pale skinned person,pierced person,redheaded person,short haired person,short person,spiky haired person,tall person,tattooed person,thin person,ugly person,unattractive person,underweight person,white person
cute person,-0.23566721481210795,-0.16717339667458433,-0.2904622693221268,-0.084980814909556,-0.1041023792357606,-0.14662525123332726,-0.0828970631147119,-0.03703514221328946,-0.13292648760582249,-0.11237834216456544,-0.18087216030208902,0.5040086517664023,0.4561203483768804,0.0,0.1889944576405384,0.09995249406175771,0.24378951215055727,0.5383129301419087,0.27118703940556665,-0.1397758694195749,-0.19869742850276376,0.13419940313051948,-0.050733905840794236,-0.09867957853706072,-0.09183019672330839,0.3054339484743286,-0.016486996772032414,0.1752956940130337,0.031458675924234125,0.04515743955173884,-0.24251659662586028,-0.16562615708670392,-0.31101041476338387,0.05885620317924356,-0.14662525123332726,0.1752956940130337,0.09995249406175771,0.038308057737986456,-0.03018576039953713,-0.2014203057433461
dark skinned person,-0.1372081125525306,-0.1029612034837688,-0.2057019306900542,-0.07556367622875931,-0.08805575582792596,-0.12350934892502591,-0.07361952659674903,-0.1029612034837688,-0.08241305804251176,-0.08241305804251176,-0.06871429441500698,0.08762076423936555,0.14361654181131617,0.08197210548754491,0.0,0.26690541445885857,-0.02761800353249283,0.595675741518972,0.2532066508313539,-0.09611182167001642,-0.07454217736121121,0.11621901455630673,-0.04131676715999755,-0.034467385346245216,0.013478287350021267,0.2121103599488398,0.006628905536268936,0.12306839637005906,0.08197210548754491,0.1093696327425544,-0.23309945794506362,-0.2528658968693985,-0.17145502162129242,-0.034467385346245216,-0.14405749436628293,0.1504659236250685,0.1504659236250685,0.04087581460503076,-0.06186491260125465,-0.15775625799378767
disfigured person,-0.09456605152567144,-0.1493611060356904,-0.23840306961447105,-0.07401790608441439,-0.09328767123287668,-0.07401790608441439,-0.05125388352014282,-0.08086728789816677,-0.06031914245690967,-0.10826481515317621,-0.12881296059443328,0.2040110550348474,0.13831293014190882,0.15201169376941348,0.01502405749436625,0.0,0.04242158474937574,0.542426457153298,0.2616018027894513,-0.12881296059443328,-0.2959913482335977,0.035572202935623354,0.01502405749436625,0.04927096656312807,-0.032921615201900234,0.2958487118582131,-0.019222851574395516,0.21365613009318468,0.09721663925939461,0.10406602107314694,-0.2452524514282234,-0.23050025379279226,-0.23155368780071867,0.05612034837688046,-0.11511419696692854,0.12461416651440405,0.2479030391619465,0.04927096656312807,-0.07401790608441439,-0.2110055423594616
dreadlocked person,-0.18688714294415007,-0.18688714294415007,-0.1800377611303977,-0.11839332480662645,-0.1100360490266763,-0.09099579755161702,-0.0891867105756805,-0.07044765211035992,-0.11154394299287412,-0.1457908520616359,-0.11154394299287412,-0.015440999759673169,0.10763627504720141,0.03229307509592544,0.3336658749010293,0.24462391132224864,0.0,0.5459967111273525,0.18982885681222972,-0.11839332480662645,-0.1640903628935352,0.12133503867470613,-0.06359827029660758,0.05284122053718254,0.05284122053718254,0.3062683476460198,0.039142456909677825,0.12133503867470613,0.05969060235093493,0.10078689323344903,-0.2485315792679213,-0.22017444269800127,-0.1800377611303977,0.05969060235093493,-0.15264023387538828,0.18297947499847733,0.14188318411596323,0.011744929654668335,-0.09784517936536935,-0.18688714294415007
fat person,-0.04486387721542115,-0.04486387721542115,-0.06541202265667824,-0.02431573177416408,0.0030401345830329274,-0.003767586332906997,-0.010247343758045972,-0.02431573177416408,-0.02431573177416408,-0.01746634996041172,-0.01746634996041172,0.0030401345830329274,-0.003767586332906997,0.03047932273585481,0.003081795480845362,0.03732870454960717,0.05787684999086424,0.0,0.12637066812838785,0.003081795480845362,-0.03750060081711126,0.03047932273585481,-0.010616968146659349,-0.01746634996041172,-0.010616968146659349,0.05787684999086424,0.003081795480845362,0.04417808636335953,0.00993117729459772,0.003081795480845362,-0.04486387721542115,-0.03782370841537665,-0.03801449540166879,0.03047932273585481,-0.03801449540166879,0.04417808636335953,0.07157561361836896,-0.01746634996041172,-0.003767586332906997,-0.03801449540166879
fit person,-0.11609233205432731,-0.08869480479931782,-0.1503392411230891,-0.020200986661794262,-0.12803652968036527,-0.10924295024057493,-0.1009960447558072,-0.07499604117181316,-0.07499604117181316,-0.10924295024057493,-0.12294171386807967,0.07466714732035568,0.08253974054449115,0.05514221328948171,0.10308788598574825,0.07569035873073882,0.17158170412327184,0.5277495584383946,0.0,-0.0475985139168037,-0.12803652968036527,0.03459406784822461,-0.006502223034289545,-0.020200986661794262,0.00034715877946278617,0.2948705767708143,0.11678664961325291,0.06199159510323404,0.06884097691698637,0.02089530422071989,-0.1982849138193556,-0.16304286523480124,-0.22568244107436503,0.027744686034472277,-0.09554418661307024,0.06199159510323404,0.10993726779950058,0.02089530422071989,0.007196540593215173,-0.02705036847554665
gray haired person,-0.24579450636457761,-0.1704513064133017,-0.30058956087459654,-0.12250563371703516,-0.005984138428262509,-0.05401181557951151,-0.06397540048993045,-0.04031305195200685,-0.04031305195200685,-0.01976490651074969,-0.033463670138254464,0.11563806777217012,0.15831902064681158,0.1514696388330592,0.13777087520555453,0.1514696388330592,0.16516840246056408,0.33640294780437296,0.14462025701930692,0.0,-0.2627421292958423,0.15831902064681158,-0.006066142883245029,0.0624276752542785,-0.08825872464827333,0.21311407515683056,0.0007832389305073573,0.13092149339180215,0.08297582069553566,0.18571654790182102,-0.2663426518058347,-0.25011586192691265,-0.24579450636457761,-0.04031305195200685,-0.1704513064133017,0.1994153115293258,0.14462025701930692,0.03503014799926918,-0.02661428832450219,-0.19784883366831107
handsome person,-0.09052631578947368,-0.06315789473684208,-0.2410526315789474,-0.13157894736842102,-0.02210526315789474,-0.11789473684210527,-0.14526315789473676,-0.10421052631578953,0.0052631578947368585,-0.03578947368421048,-0.02210526315789474,0.16947368421052633,0.12842105263157888,0.1010526315789474,0.0052631578947368585,0.21052631578947367,0.1010526315789474,0.26526315789473687,0.11473684210526314,-0.06315789473684208,0.0,0.05999999999999994,0.0736842105263158,0.032631578947368456,0.12842105263157888,0.05999999999999994,-0.008421052631578996,0.11473684210526314,0.11473684210526314,0.14210526315789485,-0.11789473684210527,-0.2821052631578947,-0.26842105263157895,-0.06315789473684208,-0.13157894736842102,0.0736842105263158,0.12842105263157888,0.08736842105263165,-0.09052631578947368,-0.11789473684210527
hunchback person,-0.11375114196966923,-0.12060052378342168,-0.25758816005846885,-0.06580546927340275,-0.004104782504205706,-0.1069017601559169,-0.12558819851255354,-0.06580546927340275,-0.024709178390888653,-0.024709178390888653,-0.06580546927340275,0.1310310021629416,0.1259772215116633,0.09857969425665392,0.1465253669529204,0.20816980327669166,0.1465253669529204,0.5300907485230525,0.2835130032279676,-0.15484743285218344,-0.1662677241047825,0.0,-0.038407942018393315,0.0026883488641208375,0.0026883488641208375,0.26981423960046286,-0.01101041476338388,0.15337474876667279,0.016387112491625555,0.13282660332541568,-0.22334125098970703,-0.24278774830620897,-0.25758816005846885,0.05063402156038738,-0.26443754187222124,0.09173031244290147,0.22186856690419637,0.0026883488641208375,-0.11375114196966923,-0.18909434192094526
large person,-0.07753334551434315,-0.24876789085815215,-0.3720567635056946,-0.07753334551434315,-0.19135063686613796,-0.015888909190571898,-0.1504586661043174,-0.05698520007308605,-0.07068396370059077,-0.05013581825933372,-0.12547901821060964,0.16000240326844506,0.15534563615323704,0.17589378159449415,0.19644192703575125,0.12109872708447528,0.22383945429076074,0.46356781777209327,0.21699007247700836,-0.0980814909556002,-0.2859456861331411,0.15534563615323704,0.0,-0.19397283634813334,-0.18712345453438084,0.22383945429076074,0.0731530543882088,0.19644192703575125,0.10055058164321828,0.09370119982946584,-0.23506912723064738,-0.2538700335693075,-0.2693160362994092,0.03890614531944697,-0.13232840002436203,0.14849625433948477,0.2101406906632559,0.032056763505694585,0.06630367257445646,-0.11862963639685731
