,african person,american person,british person,chinese person,eskimo,european person,french person,german person,greek person,hispanic person,indian person,iraqi person,irish person,italian person,japanese person,korean person,mexican person,middle eastern person,mongolian person,native american person,pakistani person,phillipines person,russian person,scottish person,thai person,vietnamese person
indian person,-0.05166666666666664,-0.07944444444444443,-0.04472222222222222,0.03166666666666662,0.11499999999999999,0.09416666666666673,0.1497222222222223,0.09416666666666673,0.024722222222222312,0.03861111111111115,0.0,-0.08638888888888885,-0.05166666666666664,-0.6766666666666667,-0.135,0.05249999999999999,0.10111111111111104,0.0872222222222222,0.07333333333333336,-0.1905555555555556,0.07333333333333336,0.16361111111111115,0.12888888888888894,-0.14888888888888896,0.0872222222222222,0.1497222222222223
iraqi person,-0.04249999999999998,-0.1397222222222222,-0.04249999999999998,0.0755555555555556,0.0755555555555556,0.11027777777777781,0.21444444444444444,0.1658333333333334,0.11027777777777781,0.0755555555555556,-0.4938888888888889,0.0,-0.2022222222222222,-0.6466666666666666,-0.12583333333333335,0.1727777777777778,0.1658333333333334,0.1658333333333334,0.04777777777777781,-0.3619444444444444,0.12416666666666665,0.2630555555555555,0.2005555555555556,-0.20916666666666672,0.10333333333333328,0.19361111111111107
irish person,-0.12777777777777777,-0.16944444444444445,-0.12083333333333335,0.004166666666666652,0.12222222222222223,0.18472222222222223,0.2402777777777778,0.18472222222222223,0.10138888888888886,0.08055555555555549,-0.4541666666666667,-0.1972222222222222,0.0,-0.6555555555555556,-0.16944444444444445,0.12916666666666665,0.1777777777777778,0.19166666666666665,0.05277777777777781,-0.27361111111111114,0.10833333333333339,0.28888888888888886,0.1777777777777778,-0.3013888888888889,0.15000000000000002,0.275
italian person,-0.03916666666666668,0.0025000000000000577,-0.018333333333333313,0.009444444444444366,0.016388888888888897,0.05111111111111111,0.030277777777777737,0.023333333333333428,0.030277777777777737,0.016388888888888897,-0.1363888888888889,-0.06000000000000005,0.023333333333333428,0.0,-0.0461111111111111,0.016388888888888897,0.023333333333333428,0.05111111111111111,0.016388888888888897,-0.08777777777777773,0.023333333333333428,0.044166666666666576,0.05111111111111111,-0.12249999999999994,0.030277777777777737,0.05111111111111111
japanese person,-0.10944444444444446,-0.15111111111111108,-0.0955555555555555,0.0641666666666667,0.057222222222222174,0.1266666666666666,0.2586111111111111,0.17527777777777787,0.11972222222222229,0.07111111111111112,-0.40111111111111114,-0.3038888888888889,-0.1858333333333333,-0.6163888888888889,0.0,0.13361111111111112,0.14055555555555554,0.16833333333333333,-0.012222222222222245,-0.26222222222222225,0.1544444444444445,0.2863888888888888,0.22388888888888892,-0.29,0.21000000000000008,0.23777777777777775
korean person,-0.18444444444444447,-0.21222222222222226,-0.1011111111111111,0.009999999999999953,0.0863888888888889,0.10027777777777774,0.38499999999999995,0.22527777777777774,0.07249999999999995,-0.024722222222222257,-0.2747222222222222,-0.2886111111111111,-0.17055555555555554,-0.365,-0.20527777777777775,0.0,0.1975,0.15583333333333332,-0.059444444444444466,-0.3302777777777778,0.058611111111111114,0.5030555555555556,0.2808333333333333,-0.24694444444444447,0.1141666666666667,0.27388888888888885
mexican person,-0.15583333333333335,-0.1488888888888889,-0.13499999999999998,-0.05166666666666664,-0.10722222222222222,0.18444444444444447,0.3372222222222222,0.1775,0.11499999999999999,-0.07944444444444443,-0.2808333333333334,-0.23916666666666664,-0.17666666666666664,-0.32944444444444443,-0.16972222222222222,0.08722222222222226,0.0,0.2122222222222222,-0.0030555555555555336,-0.26,0.12194444444444447,0.4830555555555555,0.3025,-0.20444444444444443,0.04555555555555557,0.27472222222222226
middle eastern person,-0.1527777777777778,-0.18750000000000003,-0.09027777777777779,-0.013888888888888895,0.048611111111111105,0.1597222222222222,0.2986111111111111,0.26388888888888884,0.06944444444444442,-0.05555555555555558,-0.2708333333333333,-0.24305555555555552,-0.19444444444444445,-0.3611111111111111,-0.2013888888888889,0.125,0.1111111111111111,0.0,-0.048611111111111105,-0.2638888888888889,0.1527777777777778,0.5,0.2152777777777778,-0.2638888888888889,0.11805555555555558,0.2847222222222222
mongolian person,-0.1833333333333334,-0.17638888888888887,-0.19722222222222224,-0.016666666666666663,0.05972222222222223,0.13611111111111107,0.3583333333333334,0.3097222222222222,0.19166666666666665,-0.002777777777777768,-0.42638888888888893,-0.2944444444444444,-0.22499999999999998,-0.49583333333333335,-0.19027777777777777,0.1708333333333334,0.15694444444444444,0.19861111111111107,0.0,-0.2597222222222222,0.12916666666666665,0.4416666666666667,0.24027777777777776,-0.2944444444444444,0.1430555555555555,0.22638888888888886
native american person,-0.10083333333333333,-0.12861111111111112,-0.0591666666666667,0.10055555555555562,0.0658333333333333,0.12138888888888888,0.2186111111111111,0.14916666666666667,0.09361111111111109,0.05194444444444446,-0.4202777777777778,-0.14249999999999996,-0.1563888888888889,-0.6494444444444445,-0.19805555555555554,0.18388888888888888,0.1561111111111111,0.1561111111111111,-0.01749999999999996,0.0,0.1283333333333333,0.22555555555555562,0.17694444444444446,-0.21194444444444438,0.03805555555555551,0.2186111111111111
pakistani person,-0.21000000000000002,-0.11277777777777781,-0.09194444444444444,-0.11972222222222223,-0.05722222222222223,0.07472222222222219,0.40111111111111114,0.22055555555555562,0.11638888888888888,0.019166666666666665,-0.29333333333333333,-0.2377777777777778,-0.14750000000000002,-0.36972222222222223,-0.2238888888888889,0.1858333333333334,0.16500000000000004,0.13027777777777783,-0.0155555555555556,-0.2725,0.0,0.54,0.19972222222222225,-0.21694444444444444,0.08166666666666667,0.23444444444444446
phillipines person,-0.06611111111111112,-0.04527777777777777,-0.03833333333333333,0.024166666666666656,0.003333333333333341,0.05888888888888888,0.051944444444444446,0.12833333333333335,0.04500000000000001,-0.03833333333333333,-0.08694444444444444,-0.08,-0.0313888888888889,-0.09388888888888888,-0.059166666666666666,0.03805555555555555,0.10055555555555555,0.07972222222222222,-0.0313888888888889,-0.07305555555555555,0.003333333333333341,0.0,0.07277777777777777,-0.09388888888888888,0.031111111111111117,0.10055555555555555
russian person,-0.1747222222222222,-0.1816666666666667,-0.13999999999999999,-0.02888888888888891,-0.008055555555555538,0.10305555555555551,0.31833333333333336,0.12388888888888888,0.07527777777777778,-0.08444444444444446,-0.23027777777777778,-0.19555555555555554,-0.09833333333333333,-0.2788888888888889,-0.1747222222222222,0.08222222222222225,0.10305555555555551,0.18638888888888888,-0.008055555555555538,-0.20249999999999999,0.16555555555555557,0.5891666666666667,0.0,-0.22333333333333333,0.06138888888888888,0.2211111111111111
scottish person,-0.17833333333333334,-0.08805555555555555,0.0022222222222222365,0.06472222222222224,0.12722222222222224,0.1133333333333334,0.23138888888888887,0.2105555555555555,0.14111111111111108,0.009166666666666656,-0.4491666666666666,-0.28250000000000003,-0.11583333333333334,-0.6019444444444445,-0.15749999999999997,0.1133333333333334,0.1133333333333334,0.16888888888888887,0.030000000000000027,-0.31027777777777776,0.0855555555555555,0.25916666666666666,0.2105555555555555,0.0,0.12722222222222224,0.17583333333333329
thai person,-0.18694444444444444,-0.13833333333333336,-0.0411111111111111,-0.048055555555555574,0.014444444444444426,0.195,0.32,0.13249999999999995,0.16722222222222227,-0.06194444444444441,-0.3258333333333333,-0.23555555555555557,-0.20777777777777778,-0.3952777777777778,-0.2980555555555556,0.11166666666666669,0.22277777777777774,0.1463888888888889,-0.048055555555555574,-0.2008333333333333,0.1463888888888889,0.49361111111111106,0.2852777777777778,-0.27722222222222226,0.0,0.22972222222222222
vietnamese person,-0.15388888888888888,-0.11916666666666667,-0.1261111111111111,-0.07055555555555557,0.019722222222222197,0.10999999999999999,0.4363888888888888,0.2072222222222222,0.07527777777777778,-0.04972222222222222,-0.265,-0.2025,-0.20944444444444443,-0.2927777777777778,-0.2025,0.07527777777777778,0.1169444444444444,0.10305555555555557,-0.008055555555555594,-0.25805555555555554,0.1169444444444444,0.5475,0.24888888888888888,-0.2025,0.10305555555555557,0.0
